Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID
Justin Jackson,LAC,ATL,RB,4000,2.6,-8.3,1,15904985
Richie James,SF,WAS,WR,3400,1.5,-8.3,1,15905277
Dontrelle Inman,WAS,SF,WR,3500,1.6,-8.3,1,15905271
K.J. Hill,LAC,ATL,WR,3000,0.5,-8.4,,15905313
Nick Westbrook-Ikhine,TEN,JAX,WR,3000,0.5,-8.4,,15905491
KeeSean Johnson,ARI,NYG,WR,3000,0.4,-8.5,,15905421
Tyrie Cleveland,DEN,CAR,WR,3000,0.5,-8.5,,15905463
Devontae Booker,LV,IND,RB,5300,5,-8.5,3,15904925
Olabisi Johnson,MIN,TB,WR,3200,0.8,-8.5,,15905295
Juwan Johnson,NO,PHI,WR,3000,0.5,-8.5,,15905335
D'Onta Foreman,TEN,JAX,RB,4000,2.4,-8.6,,15905117
Trenton Cannon,CAR,DEN,RB,4000,1.9,-9,,15905083
DeeJay Dallas,SEA,NYJ,RB,4000,2,-9,1,15905025
Royce Freeman,DEN,CAR,RB,4000,1.7,-9.2,1,15905089
Jordan Howard,PHI,NO,RB,4000,1.5,-9.4,1,15904997
Josh Adams,NYJ,SEA,RB,4100,1.6,-9.5,1,15904975
Alec Ingold,LV,IND,RB,4000,1.3,-9.6,1,15905019
Ryan Nall,CHI,HOU,RB,4000,1.3,-9.7,,15905093
Trayveon Williams,CIN,DAL,RB,4000,1.2,-9.7,,15905041
Isaac Nauta,DET,GB,,,0.3,-10,,
Joshua Kelley,LAC,ATL,RB,4000,0.9,-10,1,15904981
C.J. Ham,MIN,TB,RB,4000,0.9,-10,,15905079
Elijhaa Penny,NYG,ARI,RB,4000,0.9,-10,,15905067
Javon Leake,WAS,SF,,,1.1,-10,,
Alex Armah,CAR,DEN,RB,4000,0.8,-10.1,,15905087
Devine Ozigbo,JAX,TEN,RB,4000,0.8,-10.2,,15905105
Keith Smith,ATL,LAC,RB,4000,0.6,-10.3,,15904991
Tevin Coleman,SF,WAS,RB,4900,2.4,-10.3,1,15904945
Jerick McKinnon,SF,WAS,RB,4400,1.5,-10.3,1,15904965
Khari Blasingame,TEN,JAX,RB,4000,0.6,-10.3,,15905123
Tyler Ervin,GB,DET,RB,4000,0.4,-10.5,,15905125
Ameer Abdullah,MIN,TB,RB,4000,0.4,-10.6,1,15905077
Michael Burton,NO,PHI,RB,4000,0.4,-10.6,,15905003
Jacoby Brissett,IND,LV,QB,4100,1.3,-11.5,,15904856
